Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
3250.000	8.000	0.500	0.012	0.030	0.028	0.056	0.078	0.010	0.095	0.040
3300.000	8.000	134.857	0.013	0.025	0.019	0.093	0.080	0.009	0.095	0.042
3350.000	8.000	249.214	0.015	0.060	0.018	0.060	0.077	0.011	0.095	0.036
3400.000	7.000	0.297	0.012	0.030	0.024	0.039	0.075	0.011	0.100	0.028
3450.000	7.000	49.358	0.013	0.072	0.025	0.041	0.080	0.013	0.104	0.015
3500.000	7.000	234.571	0.011	0.118	0.026	0.023	0.085	0.015	0.108	0.012
3550.000	7.000	285.286	0.014	0.141	0.028	0.019	0.084	0.014	0.106	0.014
3600.000	6.000	0.167	0.014	0.003	0.022	0.025	0.078	0.014	0.105	0.018
3650.000	6.000	0.211	0.014	0.005	0.017	0.033	0.069	0.013	0.102	0.022
3700.000	6.000	0.167	0.015	0.009	0.020	0.049	0.064	0.015	0.100	0.021
3750.000	6.000	0.342	0.014	0.014	0.020	0.063	0.062	0.020	0.100	0.024
3800.000	6.000	0.167	0.012	0.014	0.020	0.043	0.069	0.027	0.104	0.029
3850.000	6.000	0.167	0.008	0.022	0.022	0.041	0.070	0.034	0.107	0.028
3900.000	6.000	3.000	0.006	0.048	0.019	0.050	0.076	0.037	0.114	0.021
3950.000	6.000	124.600	0.005	0.105	0.017	0.043	0.095	0.034	0.126	0.012
4000.000	6.000	315.467	0.003	0.139	0.017	0.038	0.110	0.030	0.146	0.010
4050.000	5.000	0.000	0.003	0.009	0.019	0.047	0.131	0.029	0.172	0.012
4100.000	5.000	0.200	0.002	0.018	0.024	0.062	0.143	0.026	0.175	0.009
4150.000	5.000	0.775	0.003	0.034	0.028	0.076	0.154	0.025	0.176	0.006
4200.000	5.000	47.150	0.004	0.079	0.035	0.068	0.159	0.025	0.176	0.004
4250.000	5.000	288.000	0.005	0.158	0.041	0.029	0.162	0.026	0.177	0.004
4300.000	5.000	395.000	0.005	0.189	0.047	0.009	0.161	0.024	0.173	0.005
4350.000	4.000	0.000	0.004	0.003	0.053	0.008	0.191	0.031	0.190	0.005
4400.000	4.000	0.289	0.007	0.003	0.056	0.006	0.191	0.033	0.191	0.005
4450.000	4.000	0.250	0.009	0.006	0.057	0.007	0.192	0.028	0.183	0.004
4500.000	4.000	0.500	0.013	0.005	0.056	0.005	0.193	0.024	0.179	0.006
4550.000	4.000	0.000	0.014	0.005	0.053	0.004	0.187	0.032	0.173	0.005
4600.000	4.000	0.000	0.011	0.005	0.050	0.009	0.180	0.032	0.166	0.007
4650.000	4.000	0.408	0.011	0.007	0.058	0.012	0.180	0.032	0.163	0.006
4700.000	4.000	0.250	0.011	0.008	0.050	0.017	0.176	0.031	0.158	0.005
4750.000	4.000	0.000	0.009	0.018	0.037	0.041	0.182	0.023	0.157	0.005
4800.000	4.000	0.250	0.007	0.031	0.015	0.116	0.188	0.008	0.168	0.004
4850.000	4.000	110.500	0.009	0.034	0.028	0.154	0.194	0.010	0.180	0.007
4900.000	4.000	286.250	0.009	0.009	0.011	0.216	0.192	0.013	0.178	0.008
4950.000	4.000	487.750	0.011	0.001	0.012	0.232	0.193	0.015	0.182	0.008
5000.000	3.000	0.333	0.011	0.002	0.004	0.023	0.237	0.012	0.205	0.004
	
Sweep Number:	3
groups	true
memorySize	3
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	1479.100	0.124	0.127	0.125	0.124	0.123	0.125	0.125	0.126
1.000	10.000	1440.900	0.122	0.130	0.124	0.127	0.122	0.124	0.125	0.126
50.000	10.000	1999.800	0.159	0.050	0.178	0.052	0.182	0.105	0.175	0.100
100.000	10.000	1999.800	0.181	0.010	0.203	0.011	0.226	0.086	0.209	0.073
150.000	10.000	1999.900	0.193	0.004	0.211	0.006	0.249	0.066	0.217	0.055
200.000	10.000	1999.600	0.193	0.004	0.218	0.005	0.250	0.055	0.228	0.047
250.000	10.000	1999.900	0.192	0.005	0.222	0.005	0.253	0.049	0.231	0.043
300.000	10.000	1999.700	0.194	0.005	0.212	0.005	0.260	0.045	0.240	0.039
350.000	10.000	2000.000	0.188	0.006	0.206	0.008	0.263	0.044	0.246	0.040
400.000	10.000	1999.900	0.192	0.006	0.207	0.009	0.266	0.038	0.243	0.039
450.000	10.000	2000.000	0.193	0.008	0.204	0.010	0.271	0.035	0.244	0.035
500.000	10.000	1999.700	0.182	0.006	0.201	0.012	0.289	0.039	0.239	0.032
550.000	10.000	1999.800	0.171	0.007	0.200	0.013	0.286	0.040	0.253	0.031
600.000	10.000	2000.000	0.154	0.008	0.202	0.014	0.305	0.036	0.251	0.030
650.000	10.000	1999.900	0.131	0.008	0.204	0.017	0.322	0.038	0.252	0.029
700.000	10.000	1999.900	0.120	0.009	0.202	0.014	0.335	0.038	0.251	0.032
750.000	10.000	1999.700	0.107	0.008	0.205	0.013	0.351	0.036	0.249	0.031
800.000	10.000	1999.700	0.099	0.007	0.206	0.012	0.356	0.037	0.256	0.028
850.000	10.000	1999.900	0.100	0.005	0.202	0.010	0.368	0.034	0.251	0.028
900.000	10.000	1999.900	0.099	0.007	0.197	0.010	0.375	0.031	0.252	0.029
950.000	10.000	1999.800	0.104	0.005	0.181	0.011	0.390	0.032	0.249	0.029
1000.000	10.000	1999.900	0.098	0.006	0.178	0.011	0.406	0.028	0.248	0.026
1050.000	10.000	1999.500	0.095	0.007	0.168	0.012	0.418	0.025	0.250	0.024
1100.000	10.000	1999.900	0.091	0.009	0.164	0.012	0.423	0.026	0.252	0.023
1150.000	10.000	1999.800	0.083	0.010	0.160	0.010	0.436	0.025	0.252	0.024
1200.000	10.000	1999.900	0.074	0.009	0.165	0.009	0.444	0.026	0.252	0.021
1250.000	10.000	1999.700	0.065	0.008	0.157	0.010	0.457	0.029	0.253	0.021
1300.000	10.000	1999.600	0.063	0.006	0.154	0.011	0.458	0.031	0.254	0.023
1350.000	10.000	1999.900	0.060	0.005	0.144	0.009	0.469	0.035	0.255	0.024
1400.000	10.000	1999.600	0.065	0.005	0.141	0.010	0.470	0.032	0.255	0.022
1450.000	10.000	1999.700	0.064	0.004	0.140	0.009	0.474	0.033	0.251	0.024
1500.000	10.000	1999.900	0.062	0.005	0.143	0.011	0.473	0.034	0.248	0.024
1550.000	10.000	1999.900	0.062	0.006	0.150	0.009	0.472	0.033	0.246	0.022
1600.000	10.000	1999.700	0.064	0.007	0.148	0.010	0.473	0.032	0.242	0.024
1650.000	10.000	1999.800	0.063	0.008	0.152	0.011	0.477	0.030	0.236	0.023
1700.000	10.000	1999.900	0.060	0.008	0.153	0.013	0.481	0.031	0.231	0.023
1750.000	10.000	1999.900	0.056	0.008	0.161	0.013	0.474	0.030	0.233	0.024
1800.000	10.000	1999.800	0.049	0.008	0.167	0.013	0.470	0.030	0.238	0.024
1850.000	10.000	1999.700	0.046	0.007	0.184	0.016	0.453	0.032	0.236	0.026
1900.000	10.000	1999.800	0.046	0.006	0.191	0.017	0.445	0.031	0.238	0.026
1950.000	10.000	1999.700	0.048	0.007	0.194	0.018	0.437	0.029	0.241	0.025
2000.000	10.000	1999.800	0.048	0.008	0.191	0.018	0.439	0.029	0.245	0.023
2050.000	10.000	2000.000	0.046	0.008	0.187	0.018	0.432	0.030	0.253	0.026
2100.000	10.000	1999.800	0.049	0.008	0.184	0.019	0.425	0.027	0.262	0.027
2150.000	10.000	2000.000	0.049	0.007	0.178	0.020	0.421	0.025	0.272	0.028
2200.000	10.000	1999.600	0.051	0.008	0.172	0.020	0.412	0.026	0.283	0.028
2250.000	10.000	1999.700	0.047	0.009	0.155	0.020	0.418	0.025	0.298	0.028
2300.000	10.000	1999.700	0.047	0.010	0.151	0.020	0.426	0.023	0.293	0.029
2350.000	10.000	1999.800	0.046	0.009	0.148	0.021	0.424	0.022	0.299	0.030
2400.000	10.000	2000.000	0.045	0.008	0.140	0.025	0.423	0.023	0.305	0.033
2450.000	10.000	1999.800	0.043	0.007	0.127	0.026	0.421	0.024	0.318	0.034
2500.000	10.000	1999.800	0.042	0.008	0.116	0.025	0.418	0.026	0.329	0.036
2550.000	10.000	1999.900	0.042	0.011	0.107	0.026	0.417	0.027	0.331	0.038
2600.000	10.000	1999.800	0.040	0.013	0.099	0.030	0.412	0.029	0.338	0.039
2650.000	10.000	1999.500	0.039	0.011	0.089	0.026	0.399	0.034	0.359	0.044
2700.000	10.000	2000.000	0.039	0.009	0.082	0.015	0.399	0.038	0.371	0.047
2750.000	10.000	1999.900	0.043	0.008	0.083	0.012	0.399	0.039	0.368	0.048
2800.000	10.000	1999.700	0.047	0.008	0.084	0.010	0.394	0.042	0.367	0.048
2850.000	10.000	2000.000	0.049	0.010	0.090	0.011	0.383	0.044	0.364	0.049
2900.000	10.000	2000.000	0.053	0.009	0.090	0.011	0.383	0.047	0.358	0.050
2950.000	10.000	1999.900	0.051	0.008	0.092	0.011	0.388	0.045	0.350	0.055
3000.000	10.000	1999.800	0.048	0.008	0.100	0.011	0.380	0.049	0.350	0.054
3050.000	10.000	2000.000	0.045	0.010	0.111	0.013	0.366	0.051	0.344	0.060
3100.000	10.000	1999.600	0.047	0.010	0.117	0.012	0.369	0.055	0.329	0.063
3150.000	10.000	2000.000	0.050	0.010	0.123	0.012	0.363	0.058	0.322	0.063
3200.000	10.000	2000.000	0.050	0.009	0.138	0.012	0.363	0.057	0.308	0.062
3250.000	10.000	2000.000	0.049	0.009	0.143	0.012	0.356	0.052	0.314	0.063
3300.000	10.000	1999.700	0.047	0.009	0.147	0.015	0.357	0.051	0.312	0.061
3350.000	10.000	1999.900	0.044	0.009	0.146	0.019	0.362	0.052	0.308	0.060
3400.000	10.000	1999.800	0.046	0.010	0.148	0.022	0.355	0.053	0.308	0.058
3450.000	10.000	1999.900	0.043	0.008	0.145	0.026	0.344	0.059	0.315	0.060
3500.000	10.000	1999.600	0.044	0.008	0.139	0.025	0.337	0.058	0.333	0.057
3550.000	10.000	1999.900	0.045	0.009	0.135	0.024	0.328	0.062	0.334	0.063
3600.000	10.000	1999.600	0.049	0.011	0.136	0.024	0.328	0.067	0.320	0.066
3650.000	10.000	2000.000	0.049	0.011	0.130	0.029	0.338	0.072	0.307	0.065
3700.000	10.000	1999.600	0.048	0.010	0.123	0.033	0.348	0.072	0.298	0.069
3750.000	10.000	2000.000	0.045	0.008	0.120	0.030	0.362	0.071	0.293	0.071
3800.000	10.000	1999.800	0.044	0.008	0.112	0.027	0.372	0.073	0.291	0.073
3850.000	10.000	1999.800	0.041	0.008	0.107	0.028	0.373	0.073	0.294	0.076
3900.000	10.000	2000.000	0.044	0.008	0.099	0.033	0.375	0.073	0.295	0.073
3950.000	10.000	1999.800	0.043	0.010	0.102	0.034	0.373	0.070	0.299	0.070
4000.000	10.000	1999.700	0.045	0.011	0.095	0.035	0.364	0.073	0.299	0.078
4050.000	10.000	1999.700	0.045	0.016	0.092	0.042	0.360	0.069	0.294	0.082
4100.000	10.000	1999.800	0.043	0.018	0.096	0.053	0.358	0.066	0.281	0.084
4150.000	10.000	1999.900	0.045	0.013	0.104	0.044	0.357	0.066	0.290	0.081
4200.000	10.000	1999.700	0.047	0.007	0.106	0.036	0.359	0.073	0.296	0.074
4250.000	10.000	1999.900	0.048	0.008	0.105	0.040	0.364	0.073	0.289	0.073
4300.000	10.000	2000.000	0.046	0.010	0.102	0.051	0.365	0.070	0.285	0.072
4350.000	10.000	1999.800	0.040	0.016	0.094	0.065	0.363	0.073	0.277	0.072
4400.000	10.000	1999.900	0.041	0.023	0.107	0.064	0.374	0.070	0.258	0.064
4450.000	10.000	2000.000	0.040	0.013	0.149	0.033	0.386	0.073	0.249	0.057
4500.000	10.000	2000.000	0.044	0.010	0.155	0.032	0.386	0.077	0.243	0.054
4550.000	10.000	1999.900	0.043	0.013	0.159	0.041	0.383	0.072	0.238	0.051
4600.000	10.000	1999.900	0.043	0.017	0.159	0.048	0.372	0.074	0.238	0.049
4650.000	10.000	1999.900	0.045	0.018	0.159	0.035	0.358	0.080	0.257	0.047
4700.000	10.000	1999.700	0.045	0.015	0.154	0.037	0.355	0.085	0.267	0.043
4750.000	10.000	1999.800	0.043	0.022	0.131	0.059	0.353	0.087	0.263	0.043
4800.000	10.000	1987.800	0.042	0.028	0.102	0.090	0.354	0.090	0.255	0.039
4850.000	10.000	1835.400	0.041	0.029	0.094	0.099	0.349	0.093	0.258	0.037
4900.000	10.000	1800.100	0.043	0.008	0.094	0.120	0.344	0.093	0.262	0.037
4950.000	9.000	2000.000	0.046	0.010	0.107	0.023	0.382	0.103	0.288	0.040
5000.000	9.000	1999.889	0.048	0.010	0.106	0.023	0.378	0.107	0.287	0.041

Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	4.162	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1.000	10.000	5.569	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
50.000	10.000	0.133	0.006	0.002	0.004	0.002	0.006	0.005	0.006	0.003
100.000	10.000	0.133	0.009	0.002	0.008	0.001	0.010	0.005	0.010	0.005
150.000	10.000	0.100	0.010	0.001	0.009	0.001	0.014	0.006	0.013	0.004
200.000	10.000	0.306	0.013	0.001	0.013	0.002	0.017	0.008	0.015	0.006
250.000	10.000	0.100	0.015	0.001	0.016	0.002	0.017	0.009	0.015	0.007
300.000	10.000	0.153	0.017	0.001	0.016	0.001	0.019	0.009	0.015	0.007
350.000	10.000	0.000	0.017	0.001	0.016	0.002	0.021	0.009	0.015	0.009
400.000	10.000	0.100	0.018	0.001	0.014	0.002	0.019	0.008	0.017	0.010
450.000	10.000	0.000	0.019	0.001	0.016	0.003	0.022	0.007	0.020	0.009
500.000	10.000	0.153	0.017	0.001	0.018	0.003	0.024	0.008	0.022	0.007
550.000	10.000	0.133	0.017	0.001	0.021	0.003	0.026	0.008	0.022	0.008
600.000	10.000	0.000	0.016	0.001	0.026	0.004	0.032	0.007	0.025	0.008
650.000	10.000	0.100	0.015	0.001	0.027	0.005	0.036	0.007	0.024	0.007
700.000	10.000	0.100	0.017	0.002	0.028	0.004	0.037	0.008	0.025	0.007
750.000	10.000	0.153	0.014	0.002	0.030	0.003	0.037	0.009	0.024	0.008
800.000	10.000	0.153	0.015	0.001	0.031	0.003	0.034	0.009	0.024	0.007
850.000	10.000	0.100	0.019	0.001	0.032	0.003	0.034	0.009	0.024	0.007
900.000	10.000	0.100	0.020	0.001	0.029	0.002	0.034	0.009	0.021	0.008
950.000	10.000	0.133	0.021	0.001	0.027	0.002	0.035	0.007	0.022	0.009
1000.000	10.000	0.100	0.022	0.001	0.026	0.003	0.037	0.006	0.022	0.007
1050.000	10.000	0.224	0.024	0.001	0.022	0.004	0.040	0.005	0.024	0.006
1100.000	10.000	0.100	0.025	0.002	0.021	0.003	0.039	0.006	0.027	0.007
1150.000	10.000	0.133	0.022	0.002	0.020	0.002	0.038	0.005	0.029	0.008
1200.000	10.000	0.100	0.018	0.002	0.020	0.002	0.035	0.005	0.031	0.007
1250.000	10.000	0.213	0.015	0.001	0.017	0.002	0.032	0.004	0.028	0.006
1300.000	10.000	0.163	0.013	0.001	0.016	0.002	0.033	0.004	0.029	0.006
1350.000	10.000	0.100	0.011	0.001	0.016	0.001	0.034	0.006	0.029	0.007
1400.000	10.000	0.221	0.012	0.001	0.016	0.001	0.037	0.006	0.029	0.006
1450.000	10.000	0.213	0.012	0.001	0.017	0.002	0.038	0.006	0.031	0.006
1500.000	10.000	0.100	0.013	0.001	0.020	0.002	0.041	0.006	0.033	0.008
1550.000	10.000	0.100	0.013	0.001	0.020	0.002	0.044	0.006	0.035	0.007
1600.000	10.000	0.213	0.013	0.001	0.020	0.003	0.045	0.006	0.035	0.007
1650.000	10.000	0.133	0.013	0.001	0.023	0.002	0.048	0.007	0.035	0.006
1700.000	10.000	0.100	0.012	0.001	0.025	0.003	0.050	0.008	0.037	0.006
1750.000	10.000	0.100	0.009	0.001	0.026	0.003	0.049	0.007	0.036	0.007
1800.000	10.000	0.133	0.006	0.002	0.027	0.004	0.050	0.006	0.034	0.007
1850.000	10.000	0.153	0.005	0.002	0.030	0.004	0.051	0.007	0.036	0.007
1900.000	10.000	0.133	0.006	0.001	0.030	0.005	0.051	0.007	0.038	0.006
1950.000	10.000	0.153	0.008	0.001	0.029	0.005	0.053	0.007	0.041	0.006
2000.000	10.000	0.200	0.007	0.001	0.026	0.005	0.053	0.006	0.045	0.006
2050.000	10.000	0.000	0.007	0.002	0.026	0.005	0.052	0.006	0.048	0.007
2100.000	10.000	0.133	0.007	0.001	0.026	0.004	0.059	0.005	0.059	0.007
2150.000	10.000	0.000	0.007	0.002	0.025	0.004	0.065	0.004	0.066	0.007
2200.000	10.000	0.163	0.008	0.002	0.023	0.004	0.071	0.004	0.070	0.007
2250.000	10.000	0.153	0.008	0.002	0.021	0.004	0.074	0.003	0.071	0.007
2300.000	10.000	0.153	0.008	0.002	0.023	0.005	0.078	0.004	0.071	0.006
2350.000	10.000	0.133	0.008	0.003	0.024	0.005	0.083	0.005	0.073	0.007
2400.000	10.000	0.000	0.008	0.003	0.025	0.007	0.082	0.005	0.075	0.007
2450.000	10.000	0.133	0.008	0.002	0.027	0.008	0.082	0.005	0.080	0.006
2500.000	10.000	0.133	0.008	0.002	0.028	0.008	0.081	0.006	0.082	0.006
2550.000	10.000	0.100	0.008	0.002	0.026	0.009	0.081	0.006	0.078	0.007
2600.000	10.000	0.133	0.008	0.003	0.019	0.013	0.080	0.007	0.077	0.008
2650.000	10.000	0.167	0.008	0.002	0.010	0.012	0.079	0.008	0.080	0.008
2700.000	10.000	0.000	0.007	0.002	0.011	0.004	0.078	0.009	0.086	0.010
2750.000	10.000	0.100	0.009	0.002	0.011	0.003	0.078	0.009	0.086	0.011
2800.000	10.000	0.153	0.009	0.002	0.011	0.003	0.079	0.010	0.084	0.012
2850.000	10.000	0.000	0.010	0.002	0.012	0.002	0.077	0.010	0.081	0.012
2900.000	10.000	0.000	0.010	0.002	0.013	0.003	0.077	0.011	0.080	0.011
2950.000	10.000	0.100	0.011	0.001	0.014	0.003	0.076	0.010	0.080	0.012
3000.000	10.000	0.133	0.011	0.002	0.016	0.003	0.074	0.011	0.078	0.012
3050.000	10.000	0.000	0.010	0.002	0.016	0.003	0.073	0.012	0.075	0.012
3100.000	10.000	0.221	0.009	0.002	0.017	0.003	0.073	0.012	0.074	0.012
3150.000	10.000	0.000	0.008	0.003	0.017	0.003	0.070	0.014	0.075	0.012
3200.000	10.000	0.000	0.008	0.003	0.019	0.002	0.068	0.013	0.073	0.013
3250.000	10.000	0.000	0.009	0.003	0.019	0.002	0.066	0.011	0.072	0.013
3300.000	10.000	0.213	0.008	0.003	0.020	0.003	0.066	0.011	0.072	0.012
3350.000	10.000	0.100	0.008	0.003	0.021	0.005	0.066	0.011	0.070	0.010
3400.000	10.000	0.200	0.008	0.003	0.022	0.009	0.068	0.012	0.068	0.011
3450.000	10.000	0.100	0.007	0.002	0.020	0.011	0.069	0.014	0.066	0.012
3500.000	10.000	0.163	0.006	0.001	0.020	0.008	0.071	0.014	0.071	0.010
3550.000	10.000	0.100	0.006	0.001	0.021	0.006	0.070	0.015	0.074	0.011
3600.000	10.000	0.306	0.007	0.002	0.021	0.007	0.070	0.018	0.072	0.012
3650.000	10.000	0.000	0.006	0.003	0.019	0.009	0.069	0.021	0.071	0.014
3700.000	10.000	0.163	0.007	0.002	0.017	0.011	0.071	0.020	0.073	0.014
3750.000	10.000	0.000	0.007	0.001	0.016	0.009	0.074	0.020	0.075	0.013
3800.000	10.000	0.200	0.007	0.001	0.015	0.007	0.073	0.021	0.077	0.013
3850.000	10.000	0.133	0.007	0.001	0.013	0.007	0.072	0.021	0.077	0.014
3900.000	10.000	0.000	0.008	0.002	0.011	0.008	0.071	0.020	0.077	0.013
3950.000	10.000	0.133	0.008	0.003	0.013	0.010	0.070	0.018	0.078	0.012
4000.000	10.000	0.213	0.007	0.005	0.012	0.013	0.069	0.019	0.076	0.013
4050.000	10.000	0.153	0.007	0.008	0.012	0.020	0.070	0.016	0.072	0.013
4100.000	10.000	0.200	0.007	0.009	0.011	0.032	0.071	0.015	0.068	0.016
4150.000	10.000	0.100	0.007	0.005	0.014	0.019	0.068	0.013	0.069	0.018
4200.000	10.000	0.300	0.008	0.001	0.016	0.013	0.067	0.015	0.068	0.017
4250.000	10.000	0.100	0.008	0.002	0.017	0.015	0.069	0.016	0.065	0.016
4300.000	10.000	0.000	0.007	0.004	0.015	0.021	0.069	0.015	0.064	0.015
4350.000	10.000	0.133	0.007	0.008	0.015	0.032	0.071	0.015	0.061	0.014
4400.000	10.000	0.100	0.008	0.015	0.021	0.035	0.071	0.016	0.062	0.012
4450.000	10.000	0.000	0.009	0.004	0.054	0.015	0.066	0.018	0.065	0.010
4500.000	10.000	0.000	0.010	0.001	0.059	0.019	0.066	0.018	0.065	0.009
4550.000	10.000	0.100	0.010	0.002	0.058	0.027	0.065	0.018	0.064	0.010
4600.000	10.000	0.100	0.011	0.003	0.059	0.028	0.065	0.021	0.065	0.009
4650.000	10.000	0.100	0.009	0.004	0.057	0.013	0.067	0.024	0.079	0.011
4700.000	10.000	0.153	0.008	0.006	0.051	0.015	0.068	0.027	0.089	0.012
4750.000	10.000	0.133	0.007	0.012	0.032	0.033	0.067	0.027	0.090	0.013
4800.000	10.000	12.200	0.007	0.019	0.020	0.066	0.071	0.028	0.087	0.012
4850.000	10.000	164.489	0.006	0.021	0.021	0.076	0.074	0.027	0.086	0.012
4900.000	10.000	199.900	0.006	0.001	0.023	0.098	0.074	0.025	0.086	0.012
4950.000	9.000	0.000	0.004	0.002	0.022	0.010	0.069	0.028	0.087	0.011
5000.000	9.000	0.111	0.005	0.002	0.021	0.009	0.069	0.032	0.085	0.011
	
Sweep Number:	4
groups	false
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	1469.800	0.124	0.126	0.126	0.125	0.125	0.124	0.125	0.126
1.000	10.000	1421.800	0.122	0.130	0.125	0.128	0.124	0.123	0.124	0.124
50.000	10.000	1999.600	0.126	0.071	0.135	0.136	0.136	0.132	0.133	0.130
100.000	10.000	1999.500	0.133	0.030	0.144	0.129	0.144	0.142	0.145	0.133
150.000	10.000	1999.500	0.135	0.019	0.150	0.110	0.147	0.148	0.156	0.134
200.000	10.000	1999.800	0.147	0.016	0.149	0.095	0.148	0.148	0.171	0.125
250.000	10.000	1999.700	0.153	0.013	0.150	0.088	0.146	0.154	0.171	0.126
300.000	10.000	1999.900	0.154	0.014	0.151	0.086	0.149	0.155	0.166	0.124
350.000	10.000	1999.800	0.163	0.012	0.152	0.083	0.146	0.167	0.166	0.112
400.000	10.000	1999.800	0.167	0.015	0.160	0.072	0.145	0.165	0.162	0.116
450.000	10.000	1999.700	0.179	0.014	0.155	0.067	0.144	0.168	0.159	0.114
500.000	10.000	2000.000	0.186	0.012	0.157	0.065	0.140	0.174	0.152	0.114
550.000	10.000	1999.900	0.189	0.011	0.163	0.061	0.138	0.172	0.151	0.115
600.000	10.000	2000.000	0.193	0.010	0.164	0.060	0.141	0.172	0.149	0.111
650.000	10.000	1999.700	0.191	0.008	0.166	0.054	0.140	0.176	0.153	0.113
700.000	10.000	1999.800	0.193	0.008	0.176	0.049	0.135	0.167	0.159	0.112
750.000	10.000	1999.800	0.192	0.007	0.187	0.046	0.138	0.161	0.161	0.107
800.000	10.000	1999.800	0.196	0.007	0.183	0.043	0.138	0.158	0.165	0.110
850.000	10.000	1999.700	0.197	0.008	0.183	0.046	0.138	0.153	0.163	0.112
900.000	10.000	1999.500	0.196	0.009	0.192	0.044	0.128	0.151	0.167	0.114
950.000	10.000	2000.000	0.193	0.009	0.197	0.040	0.130	0.151	0.166	0.115
1000.000	10.000	2000.000	0.188	0.009	0.197	0.039	0.127	0.151	0.172	0.115
1050.000	10.000	2000.000	0.187	0.010	0.198	0.038	0.127	0.144	0.178	0.118
1100.000	10.000	1999.900	0.188	0.008	0.202	0.040	0.126	0.142	0.177	0.118
1150.000	10.000	1999.900	0.188	0.007	0.201	0.038	0.133	0.146	0.178	0.109
1200.000	10.000	1999.800	0.187	0.007	0.205	0.037	0.138	0.141	0.177	0.108
1250.000	10.000	1999.800	0.188	0.007	0.204	0.032	0.141	0.143	0.179	0.106
1300.000	10.000	1999.800	0.190	0.009	0.197	0.030	0.145	0.143	0.181	0.104
1350.000	10.000	1999.600	0.190	0.010	0.195	0.027	0.148	0.145	0.179	0.106
1400.000	10.000	1999.800	0.195	0.012	0.195	0.026	0.147	0.136	0.179	0.110
1450.000	10.000	1999.900	0.201	0.009	0.197	0.027	0.150	0.129	0.177	0.110
1500.000	10.000	2000.000	0.198	0.008	0.197	0.029	0.154	0.126	0.179	0.111
1550.000	10.000	1999.900	0.206	0.007	0.199	0.029	0.153	0.121	0.180	0.105
1600.000	10.000	1999.800	0.202	0.009	0.200	0.031	0.156	0.119	0.178	0.107
1650.000	10.000	2000.000	0.205	0.008	0.200	0.031	0.159	0.110	0.186	0.102
1700.000	10.000	1999.700	0.202	0.008	0.199	0.031	0.156	0.110	0.197	0.096
1750.000	10.000	2000.000	0.200	0.008	0.196	0.032	0.161	0.116	0.192	0.094
1800.000	10.000	1999.900	0.203	0.010	0.195	0.030	0.163	0.122	0.185	0.091
1850.000	10.000	2000.000	0.214	0.008	0.196	0.031	0.160	0.118	0.187	0.087
1900.000	10.000	1999.800	0.220	0.008	0.192	0.032	0.170	0.109	0.184	0.084
1950.000	10.000	1999.800	0.225	0.008	0.195	0.031	0.167	0.106	0.185	0.082
2000.000	10.000	2000.000	0.222	0.007	0.190	0.035	0.171	0.100	0.192	0.083
2050.000	10.000	1999.400	0.225	0.008	0.191	0.036	0.173	0.091	0.199	0.078
2100.000	10.000	1999.800	0.220	0.009	0.194	0.037	0.176	0.090	0.201	0.074
2150.000	10.000	1999.900	0.215	0.010	0.198	0.037	0.171	0.094	0.201	0.075
2200.000	10.000	1999.800	0.209	0.010	0.197	0.041	0.170	0.096	0.198	0.077
2250.000	10.000	1999.400	0.217	0.009	0.190	0.040	0.168	0.094	0.201	0.081
2300.000	10.000	1999.900	0.219	0.008	0.179	0.041	0.167	0.095	0.206	0.085
2350.000	10.000	2000.000	0.212	0.008	0.181	0.040	0.164	0.097	0.215	0.084
2400.000	10.000	1999.900	0.207	0.008	0.172	0.042	0.164	0.101	0.220	0.086
