Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
1200.000	7.000	280.615	0.054	0.086	0.030	0.107	0.040	0.001	0.028	0.002
1250.000	6.000	265.490	0.012	0.120	0.032	0.102	0.012	0.001	0.003	0.001
1300.000	4.000	445.035	0.001	0.057	0.068	0.057	0.003	0.000	0.000	0.000
1350.000	3.000	318.335	0.000	0.135	0.000	0.135	0.000	0.000	0.000	0.000
1400.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
	
Sweep Number:	2
groups	true
memorySize	2
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	1467.000	0.126	0.125	0.126	0.126	0.125	0.126	0.124	0.122
1.000	10.000	1427.300	0.125	0.128	0.124	0.128	0.124	0.126	0.123	0.122
50.000	10.000	1999.900	0.169	0.049	0.174	0.060	0.182	0.104	0.171	0.090
100.000	10.000	1999.900	0.195	0.014	0.209	0.021	0.218	0.081	0.195	0.068
150.000	10.000	1999.800	0.201	0.007	0.220	0.011	0.241	0.060	0.207	0.053
200.000	10.000	1999.900	0.204	0.006	0.224	0.008	0.256	0.046	0.212	0.044
250.000	10.000	1999.900	0.189	0.007	0.230	0.008	0.271	0.041	0.214	0.039
300.000	10.000	1999.900	0.190	0.009	0.224	0.008	0.290	0.036	0.212	0.032
350.000	10.000	2000.000	0.184	0.008	0.232	0.008	0.297	0.034	0.211	0.027
400.000	10.000	1999.700	0.176	0.005	0.227	0.011	0.303	0.030	0.220	0.028
450.000	10.000	1999.700	0.176	0.008	0.220	0.011	0.305	0.031	0.224	0.025
500.000	10.000	1999.500	0.167	0.010	0.216	0.012	0.308	0.027	0.235	0.025
550.000	10.000	1999.600	0.153	0.011	0.208	0.016	0.324	0.024	0.241	0.023
600.000	10.000	1999.800	0.139	0.009	0.203	0.019	0.332	0.024	0.255	0.019
650.000	10.000	1999.900	0.127	0.010	0.201	0.019	0.338	0.022	0.263	0.020
700.000	10.000	2000.000	0.116	0.007	0.195	0.021	0.342	0.023	0.275	0.022
750.000	10.000	1999.900	0.106	0.007	0.191	0.018	0.357	0.023	0.274	0.023
800.000	10.000	1999.800	0.104	0.007	0.184	0.013	0.366	0.026	0.278	0.022
850.000	10.000	1999.900	0.095	0.007	0.186	0.011	0.369	0.026	0.285	0.021
900.000	10.000	1999.700	0.091	0.008	0.186	0.010	0.360	0.026	0.297	0.022
950.000	10.000	1999.600	0.093	0.009	0.186	0.014	0.352	0.030	0.294	0.022
1000.000	10.000	2000.000	0.095	0.008	0.183	0.015	0.352	0.033	0.288	0.026
1050.000	10.000	1999.600	0.092	0.009	0.177	0.021	0.360	0.032	0.283	0.026
1100.000	10.000	1999.800	0.083	0.010	0.170	0.023	0.371	0.032	0.284	0.026
